epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1491.57,1.81645,0.9887,0.91235,0.81869,0.77905,0.81648,0.2912,2.09329,1.00492,0.87617,0.000990365,0.000990365,0.000990365
43,1526.74,1.81563,1.02162,0.911,0.80937,0.77465,0.8029,0.29719,2.08746,1.0274,0.87583,0.000973861,0.000973861,0.000973861
44,1561.98,1.79876,1.01985,0.90383,0.73887,0.72732,0.7326,0.27323,2.16832,1.11551,0.89583,0.000957358,0.000957358,0.000957358
45,1597.24,1.85788,0.98254,0.91137,0.75331,0.71479,0.7379,0.27845,2.16218,1.07141,0.89517,0.000940855,0.000940855,0.000940855
46,1632.46,1.7937,0.99078,0.89368,0.81408,0.69718,0.75743,0.29445,2.14102,1.03732,0.89054,0.000924352,0.000924352,0.000924352
47,1667.81,1.73669,0.98043,0.91022,0.77313,0.76794,0.78171,0.30821,2.07075,1.00966,0.88011,0.000907848,0.000907848,0.000907848
48,1702.93,1.7468,0.97035,0.90851,0.79046,0.77113,0.80829,0.32295,2.04775,0.98096,0.88239,0.000891345,0.000891345,0.000891345
49,1738.3,1.84545,1.00034,0.91916,0.78814,0.73239,0.7687,0.30094,2.11372,0.99531,0.88351,0.000874842,0.000874842,0.000874842
50,1773.72,1.84363,0.96375,0.91083,0.79237,0.73592,0.77642,0.29296,2.16242,1.01047,0.89117,0.000858338,0.000858338,0.000858338
51,1808.96,1.7804,0.98142,0.93796,0.79006,0.72879,0.78251,0.31067,2.10129,0.98331,0.88487,0.000841835,0.000841835,0.000841835
52,1844.34,1.79071,0.94886,0.9014,0.78152,0.74311,0.79251,0.30803,2.10612,0.97722,0.88104,0.000825332,0.000825332,0.000825332
53,1879.61,1.67108,0.91199,0.91223,0.79796,0.75097,0.82957,0.32955,2.06793,0.9666,0.8767,0.000808828,0.000808828,0.000808828
54,1914.67,1.54422,0.97675,0.80251,0.81208,0.71831,0.81451,0.33043,2.03788,0.96482,0.87447,0.000792325,0.000792325,0.000792325
55,1949.94,1.74907,0.91142,0.89489,0.7574,0.7805,0.79542,0.3136,2.11949,0.96587,0.884,0.000775822,0.000775822,0.000775822
56,1985.28,1.71167,0.90773,0.89565,0.83707,0.71831,0.8219,0.32428,2.07551,0.95352,0.87792,0.000759318,0.000759318,0.000759318
